feature_type,trained_on,trained_dataset,evaluated_on,macro_precision,macro_recall,macro_f1,accuracy,report_path
tfidf,merged_winoqueer_seegull_gpt_augmentation_trained,merged_winoqueer_seegull_gpt_augmentation,merged_winoqueer_seegull_gpt_augmentation,0.7319235964809613,0.6616851456846065,0.6716406525275259,0.7425050257844594,result_output_LR_tfidf\merged_winoqueer_seegull_gpt_augmentation_trained\merged_winoqueer_seegull_gpt_augmentation\classification_report.csv
tfidf,merged_winoqueer_seegull_gpt_augmentation_trained,merged_winoqueer_seegull_gpt_augmentation,mgsd,0.7162837162837163,0.6497420463339681,0.657849713781248,0.731925968768074,result_output_LR_tfidf\merged_winoqueer_seegull_gpt_augmentation_trained\mgsd\classification_report.csv
tfidf,merged_winoqueer_seegull_gpt_augmentation_trained,merged_winoqueer_seegull_gpt_augmentation,seegull_gpt_augmentation,0.8340370545626615,0.7409420289855073,0.7623651665710005,0.8140096618357487,result_output_LR_tfidf\merged_winoqueer_seegull_gpt_augmentation_trained\seegull_gpt_augmentation\classification_report.csv
tfidf,merged_winoqueer_seegull_gpt_augmentation_trained,merged_winoqueer_seegull_gpt_augmentation,winoqueer_gpt_augmentation,0.9012461709830132,0.8038859010861541,0.8306814699573345,0.8652373660030628,result_output_LR_tfidf\merged_winoqueer_seegull_gpt_augmentation_trained\winoqueer_gpt_augmentation\classification_report.csv
tfidf,mgsd_trained,mgsd,merged_winoqueer_seegull_gpt_augmentation,0.7067245640272906,0.6429838774931544,0.650185659518356,0.7263351105672581,result_output_LR_tfidf\mgsd_trained\merged_winoqueer_seegull_gpt_augmentation\classification_report.csv
tfidf,mgsd_trained,mgsd,mgsd,0.7148584255381353,0.648811785629237,0.6567817231434752,0.7310584152689416,result_output_LR_tfidf\mgsd_trained\mgsd\classification_report.csv
tfidf,mgsd_trained,mgsd,seegull_gpt_augmentation,0.7641403931351887,0.661231884057971,0.6725991465372118,0.7560386473429952,result_output_LR_tfidf\mgsd_trained\seegull_gpt_augmentation\classification_report.csv
tfidf,mgsd_trained,mgsd,winoqueer_gpt_augmentation,0.5519033909149073,0.5376410418643889,0.5316198445905559,0.6324655436447167,result_output_LR_tfidf\mgsd_trained\winoqueer_gpt_augmentation\classification_report.csv
tfidf,seegull_gpt_augmentation_trained,seegull_gpt_augmentation,merged_winoqueer_seegull_gpt_augmentation,0.5833957565603144,0.5832403546121956,0.5833168665571793,0.6258194213792501,result_output_LR_tfidf\seegull_gpt_augmentation_trained\merged_winoqueer_seegull_gpt_augmentation\classification_report.csv
tfidf,seegull_gpt_augmentation_trained,seegull_gpt_augmentation,mgsd,0.5731647663059716,0.5744495649413509,0.5736945411725812,0.6129747445536919,result_output_LR_tfidf\seegull_gpt_augmentation_trained\mgsd\classification_report.csv
tfidf,seegull_gpt_augmentation_trained,seegull_gpt_augmentation,seegull_gpt_augmentation,0.8344387755102041,0.8097826086956521,0.8198286413708691,0.8454106280193237,result_output_LR_tfidf\seegull_gpt_augmentation_trained\seegull_gpt_augmentation\classification_report.csv
tfidf,seegull_gpt_augmentation_trained,seegull_gpt_augmentation,winoqueer_gpt_augmentation,0.6492453139739962,0.5767425920067489,0.5669647547011241,0.6906584992343032,result_output_LR_tfidf\seegull_gpt_augmentation_trained\winoqueer_gpt_augmentation\classification_report.csv
tfidf,winoqueer_gpt_augmentation_trained,winoqueer_gpt_augmentation,merged_winoqueer_seegull_gpt_augmentation,0.5378079992860291,0.5420560734954039,0.5269218940624194,0.5399003583602832,result_output_LR_tfidf\winoqueer_gpt_augmentation_trained\merged_winoqueer_seegull_gpt_augmentation\classification_report.csv
tfidf,winoqueer_gpt_augmentation_trained,winoqueer_gpt_augmentation,mgsd,0.5110757198317498,0.5123092197239806,0.4984183280546138,0.5108926161557741,result_output_LR_tfidf\winoqueer_gpt_augmentation_trained\mgsd\classification_report.csv
tfidf,winoqueer_gpt_augmentation_trained,winoqueer_gpt_augmentation,seegull_gpt_augmentation,0.6165540540540541,0.6304347826086957,0.597008547008547,0.6038647342995169,result_output_LR_tfidf\winoqueer_gpt_augmentation_trained\seegull_gpt_augmentation\classification_report.csv
tfidf,winoqueer_gpt_augmentation_trained,winoqueer_gpt_augmentation,winoqueer_gpt_augmentation,0.950421420495426,0.9621058736686704,0.9558306277056275,0.9601837672281776,result_output_LR_tfidf\winoqueer_gpt_augmentation_trained\winoqueer_gpt_augmentation\classification_report.csv
